Fecha,Producto,Demanda_Diaria
2025-09-01,Cafe_Grano_1kg,18
2025-09-01,Vasos_Descartables_8oz,184
2025-09-01,Leche_Almendra_1L,32
2025-09-01,Azucar_Blanca_500g,3
2025-09-01,Jarabe_Vainilla,1
2025-09-02,Cafe_Grano_1kg,13
2025-09-02,Vasos_Descartables_8oz,197
2025-09-02,Leche_Almendra_1L,32
2025-09-02,Azucar_Blanca_500g,5
2025-09-02,Jarabe_Vainilla,1
2025-09-03,Cafe_Grano_1kg,16
2025-09-03,Vasos_Descartables_8oz,192
2025-09-03,Leche_Almendra_1L,33
2025-09-03,Azucar_Blanca_500g,2
2025-09-03,Jarabe_Vainilla,3
2025-09-04,Cafe_Grano_1kg,15
2025-09-04,Vasos_Descartables_8oz,221
2025-09-04,Leche_Almendra_1L,39
2025-09-04,Azucar_Blanca_500g,2
2025-09-04,Jarabe_Vainilla,3
2025-09-05,Cafe_Grano_1kg,12
2025-09-05,Vasos_Descartables_8oz,182
2025-09-05,Leche_Almendra_1L,35
2025-09-05,Azucar_Blanca_500g,0
2025-09-05,Jarabe_Vainilla,4
2025-09-06,Cafe_Grano_1kg,13
2025-09-06,Vasos_Descartables_8oz,218
2025-09-06,Leche_Almendra_1L,27
2025-09-06,Azucar_Blanca_500g,6
2025-09-06,Jarabe_Vainilla,6
2025-09-07,Cafe_Grano_1kg,13
2025-09-07,Vasos_Descartables_8oz,222
2025-09-07,Leche_Almendra_1L,28
2025-09-07,Azucar_Blanca_500g,2
2025-09-07,Jarabe_Vainilla,6
2025-09-08,Cafe_Grano_1kg,21
2025-09-08,Vasos_Descartables_8oz,192
2025-09-08,Leche_Almendra_1L,25
2025-09-08,Azucar_Blanca_500g,2
2025-09-08,Jarabe_Vainilla,2
2025-09-09,Cafe_Grano_1kg,10
2025-09-09,Vasos_Descartables_8oz,229
2025-09-09,Leche_Almendra_1L,30
2025-09-09,Azucar_Blanca_500g,6
2025-09-09,Jarabe_Vainilla,0
2025-09-10,Cafe_Grano_1kg,16
2025-09-10,Vasos_Descartables_8oz,169
2025-09-10,Leche_Almendra_1L,39
2025-09-10,Azucar_Blanca_500g,6
2025-09-10,Jarabe_Vainilla,5
2025-09-11,Cafe_Grano_1kg,19
2025-09-11,Vasos_Descartables_8oz,186
2025-09-11,Leche_Almendra_1L,31
2025-09-11,Azucar_Blanca_500g,2
2025-09-11,Jarabe_Vainilla,3
2025-09-12,Cafe_Grano_1kg,22
2025-09-12,Vasos_Descartables_8oz,193
2025-09-12,Leche_Almendra_1L,26
2025-09-12,Azucar_Blanca_500g,4
2025-09-12,Jarabe_Vainilla,5
2025-09-13,Cafe_Grano_1kg,18
2025-09-13,Vasos_Descartables_8oz,176
2025-09-13,Leche_Almendra_1L,38
2025-09-13,Azucar_Blanca_500g,1
2025-09-13,Jarabe_Vainilla,1
2025-09-14,Cafe_Grano_1kg,10
2025-09-14,Vasos_Descartables_8oz,208
2025-09-14,Leche_Almendra_1L,25
2025-09-14,Azucar_Blanca_500g,7
2025-09-14,Jarabe_Vainilla,2
2025-09-15,Cafe_Grano_1kg,21
2025-09-15,Vasos_Descartables_8oz,213
2025-09-15,Leche_Almendra_1L,31
2025-09-15,Azucar_Blanca_500g,3
2025-09-15,Jarabe_Vainilla,5
2025-09-16,Cafe_Grano_1kg,12
2025-09-16,Vasos_Descartables_8oz,217
2025-09-16,Leche_Almendra_1L,24
2025-09-16,Azucar_Blanca_500g,6
2025-09-16,Jarabe_Vainilla,6
2025-09-17,Cafe_Grano_1kg,15
2025-09-17,Vasos_Descartables_8oz,213
2025-09-17,Leche_Almendra_1L,33
2025-09-17,Azucar_Blanca_500g,4
2025-09-17,Jarabe_Vainilla,0
2025-09-18,Cafe_Grano_1kg,15
2025-09-18,Vasos_Descartables_8oz,191
2025-09-18,Leche_Almendra_1L,13
2025-09-18,Azucar_Blanca_500g,5
2025-09-18,Jarabe_Vainilla,2
2025-09-19,Cafe_Grano_1kg,15
2025-09-19,Vasos_Descartables_8oz,206
2025-09-19,Leche_Almendra_1L,27
2025-09-19,Azucar_Blanca_500g,3
2025-09-19,Jarabe_Vainilla,4
2025-09-20,Cafe_Grano_1kg,10
2025-09-20,Vasos_Descartables_8oz,202
2025-09-20,Leche_Almendra_1L,33
2025-09-20,Azucar_Blanca_500g,7
2025-09-20,Jarabe_Vainilla,0
2025-09-21,Cafe_Grano_1kg,9
2025-09-21,Vasos_Descartables_8oz,209
2025-09-21,Leche_Almendra_1L,21
2025-09-21,Azucar_Blanca_500g,5
2025-09-21,Jarabe_Vainilla,0
2025-09-22,Cafe_Grano_1kg,13
2025-09-22,Vasos_Descartables_8oz,200
2025-09-22,Leche_Almendra_1L,33
2025-09-22,Azucar_Blanca_500g,2
2025-09-22,Jarabe_Vainilla,5
2025-09-23,Cafe_Grano_1kg,14
2025-09-23,Vasos_Descartables_8oz,222
2025-09-23,Leche_Almendra_1L,20
2025-09-23,Azucar_Blanca_500g,1
2025-09-23,Jarabe_Vainilla,1
2025-09-24,Cafe_Grano_1kg,13
2025-09-24,Vasos_Descartables_8oz,191
2025-09-24,Leche_Almendra_1L,33
2025-09-24,Azucar_Blanca_500g,8
2025-09-24,Jarabe_Vainilla,5
2025-09-25,Cafe_Grano_1kg,18
2025-09-25,Vasos_Descartables_8oz,179
2025-09-25,Leche_Almendra_1L,30
2025-09-25,Azucar_Blanca_500g,3
2025-09-25,Jarabe_Vainilla,2
2025-09-26,Cafe_Grano_1kg,23
2025-09-26,Vasos_Descartables_8oz,203
2025-09-26,Leche_Almendra_1L,29
2025-09-26,Azucar_Blanca_500g,6
2025-09-26,Jarabe_Vainilla,1
2025-09-27,Cafe_Grano_1kg,14
2025-09-27,Vasos_Descartables_8oz,194
2025-09-27,Leche_Almendra_1L,23
2025-09-27,Azucar_Blanca_500g,2
2025-09-27,Jarabe_Vainilla,2
2025-09-28,Cafe_Grano_1kg,17
2025-09-28,Vasos_Descartables_8oz,195
2025-09-28,Leche_Almendra_1L,28
2025-09-28,Azucar_Blanca_500g,6
2025-09-28,Jarabe_Vainilla,1
2025-09-29,Cafe_Grano_1kg,10
2025-09-29,Vasos_Descartables_8oz,206
2025-09-29,Leche_Almendra_1L,28
2025-09-29,Azucar_Blanca_500g,3
2025-09-29,Jarabe_Vainilla,1
2025-09-30,Cafe_Grano_1kg,21
2025-09-30,Vasos_Descartables_8oz,202
2025-09-30,Leche_Almendra_1L,30
2025-09-30,Azucar_Blanca_500g,5
2025-09-30,Jarabe_Vainilla,5
2025-10-01,Cafe_Grano_1kg,11
2025-10-01,Vasos_Descartables_8oz,194
2025-10-01,Leche_Almendra_1L,31
2025-10-01,Azucar_Blanca_500g,11
2025-10-01,Jarabe_Vainilla,0
2025-10-02,Cafe_Grano_1kg,13
2025-10-02,Vasos_Descartables_8oz,204
2025-10-02,Leche_Almendra_1L,36
2025-10-02,Azucar_Blanca_500g,2
2025-10-02,Jarabe_Vainilla,9
